Sales Person,Country,Product,Date,Month, Amount ,Boxes Shipped
Karlen McCaffrey,USA,Eclairs,15/Aug/2022,August,$868 ,125
Karlen McCaffrey,Canada,Fruit & Nut Bars,06/Feb/2022,February,$210 ,16
Gunar Cockshoot,USA,85% Dark Bars,30/Jun/2022,June,"$7,007 ",135
Dotty Strutley,New Zealand,Raspberry Choco,02/Oct/2022,October,"$5,845 ",91
Marney O'Breen,Canada,Caramel Stuffed Bars,23/Feb/2022,February,"$1,372 ",614
Dennison Crosswaite,India,Organic Choco Syrup,27/Jan/2022,January,"$8,428 ",216
Camilla Castle,UK,Mint Chip Choco,26/May/2022,May,"$4,977 ",317
Brien Boise,USA,70% Dark Bites,14/Apr/2022,April,"$1,694 ",21
Madelene Upcott,Australia,99% Dark & Pure,08/Jan/2022,January,"$4,326 ",154
Mallorie Waber,Australia,Eclairs,22/Aug/2022,August,"$9,527 ",222
Marney O'Breen,India,99% Dark & Pure,22/Jul/2022,July,"$10,766 ",157
Husein Augar,USA,Fruit & Nut Bars,28/Apr/2022,April,"$1,288 ",27
Kelci Walkden,Australia,Almond Choco,30/May/2022,May,"$4,879 ",350
Ches Bonnell,USA,Milk Bars,21/Jul/2022,July,"$2,408 ",157
Jan Morforth,UK,Caramel Stuffed Bars,08/Feb/2022,February,"$3,094 ",468
Brien Boise,New Zealand,70% Dark Bites,15/Jun/2022,June,"$7,231 ",130
Oby Sorrel,India,85% Dark Bars,07/May/2022,May,"$8,981 ",130
Kaine Padly,New Zealand,Smooth Sliky Salty,04/Dec/2022,December,$7 ,518
Gigi Bohling,Australia,70% Dark Bites,18/Aug/2022,August,"$1,372 ",105
Jan Morforth,UK,50% Dark Bites,01/Dec/2022,December,"$5,250 ",293
Gunar Cockshoot,Canada,White Choc,08/Nov/2022,November,"$7,560 ",15
Jehu Rudeforth,Australia,Spicy Special Slims,13/Jan/2022,January,"$5,012 ",384
Husein Augar,UK,Baker's Choco Chips,29/Apr/2022,April,"$3,038 ",135
Rafaelita Blaksland,New Zealand,After Nines,07/Jul/2022,July,"$1,099 ",92
Madelene Upcott,New Zealand,Mint Chip Choco,03/Nov/2022,November,"$7,413 ",4
Madelene Upcott,UK,70% Dark Bites,16/Feb/2022,February,"$5,397 ",239
Barr Faughny,Australia,Organic Choco Syrup,01/Jul/2022,July,"$2,303 ",33
Beverie Moffet,New Zealand,Drinking Coco,01/Dec/2022,December,"$1,141 ",518
Beverie Moffet,India,Eclairs,06/Sep/2022,September,"$10,325 ",147
Andria Kimpton,India,Eclairs,16/May/2022,May,"$2,149 ",84
Gigi Bohling,UK,85% Dark Bars,23/Jun/2022,June,"$12,362 ",94
Roddy Speechley,UK,Raspberry Choco,28/Jan/2022,January,"$12,635 ",194
Dotty Strutley,UK,Mint Chip Choco,14/Jul/2022,July,"$2,443 ",216
Barr Faughny,Canada,Drinking Coco,18/Apr/2022,April,"$6,237 ",247
Oby Sorrel,USA,Milk Bars,14/Jun/2022,June,"$1,736 ",79
Oby Sorrel,UK,Orange Choco,15/Apr/2022,April,"$7,315 ",237
Curtice Advani,Canada,Peanut Butter Cubes,19/May/2022,May,"$4,935 ",63
Gigi Bohling,India,White Choc,13/Apr/2022,April,"$1,393 ",172
Husein Augar,Canada,Choco Coated Almonds,15/Aug/2022,August,"$3,381 ",408
Wilone O'Kielt,India,Choco Coated Almonds,22/Aug/2022,August,"$2,933 ",233
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22/Apr/2022,April,"$3,836 ",59
Kaine Padly,UK,Choco Coated Almonds,08/Mar/2022,March,"$8,022 ",123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,01/Apr/2022,April,$371 ,229
Kelci Walkden,Canada,After Nines,13/Jan/2022,January,"$16,702 ",198
Van Tuxwell,Australia,Baker's Choco Chips,05/Nov/2022,November,"$13,258 ",32
Husein Augar,New Zealand,Peanut Butter Cubes,16/Feb/2022,February,"$2,058 ",236
Kaine Padly,UK,Caramel Stuffed Bars,20/May/2022,May,"$10,192 ",67
Jehu Rudeforth,UK,Drinking Coco,02/Mar/2022,March,"$7,140 ",438
Beverie Moffet,India,Manuka Honey Choco,05/Jun/2022,June,"$9,835 ",167
Gunar Cockshoot,UK,Choco Coated Almonds,30/Jun/2022,June,"$5,775 ",135
Gunar Cockshoot,UK,Smooth Sliky Salty,22/Mar/2022,March,$749 ,148
Camilla Castle,Canada,Orange Choco,17/Feb/2022,February,"$7,770 ",54
Jehu Rudeforth,UK,85% Dark Bars,07/Jul/2022,July,"$5,502 ",64
Oby Sorrel,UK,70% Dark Bites,16/Mar/2022,March,"$6,223 ",181
Kelci Walkden,UK,99% Dark & Pure,08/Dec/2022,December,"$3,507 ",114
Gigi Bohling,New Zealand,After Nines,21/Jan/2022,January,"$5,600 ",181
Oby Sorrel,Australia,50% Dark Bites,05/Jun/2022,June,$721 ,151
Oby Sorrel,Canada,50% Dark Bites,24/Jun/2022,June,"$6,615 ",137
Barr Faughny,USA,White Choc,05/May/2022,May,"$7,420 ",163
Rafaelita Blaksland,New Zealand,99% Dark & Pure,25/Mar/2022,March,"$3,164 ",84
Curtice Advani,Australia,Caramel Stuffed Bars,14/Feb/2022,February,"$9,114 ",140
Curtice Advani,New Zealand,85% Dark Bars,05/Dec/2022,December,"$5,404 ",187
Barr Faughny,New Zealand,Smooth Sliky Salty,25/Jan/2022,January,"$3,990 ",169
Ches Bonnell,UK,85% Dark Bars,28/Jun/2022,June,"$14,924 ",12
Dennison Crosswaite,Australia,Drinking Coco,13/Jul/2022,July,"$7,091 ",194
Roddy Speechley,USA,Milk Bars,16/May/2022,May,"$2,807 ",252
Jan Morforth,India,After Nines,14/Mar/2022,March,"$6,496 ",168
Gunar Cockshoot,USA,After Nines,15/Aug/2022,August,"$3,738 ",261
Ches Bonnell,India,Orange Choco,16/Feb/2022,February,"$1,190 ",256
Mallorie Waber,UK,Manuka Honey Choco,15/Jun/2022,June,"$8,379 ",43
Barr Faughny,Australia,Raspberry Choco,27/May/2022,May,"$9,268 ",100
Wilone O'Kielt,USA,Drinking Coco,14/Jun/2022,June,"$1,029 ",98
Wilone O'Kielt,India,Eclairs,25/Feb/2022,February,"$3,549 ",76
Wilone O'Kielt,India,After Nines,08/Apr/2022,April,"$12,026 ",262
Kelci Walkden,India,99% Dark & Pure,28/Jun/2022,June,"$2,303 ",244
Gunar Cockshoot,Canada,Spicy Special Slims,04/May/2022,May,"$13,405 ",12
Madelene Upcott,Canada,Peanut Butter Cubes,07/May/2022,May,"$14,763 ",113
Kaine Padly,New Zealand,Eclairs,20/Jan/2022,January,"$12,894 ",48
Ches Bonnell,New Zealand,Drinking Coco,16/Feb/2022,February,"$8,302 ",131
Curtice Advani,UK,Drinking Coco,07/Dec/2022,December,$455 ,174
Kelci Walkden,India,Raspberry Choco,16/Jun/2022,June,"$8,183 ",254
Dotty Strutley,Australia,Choco Coated Almonds,13/Apr/2022,April,"$1,645 ",284
Kaine Padly,UK,50% Dark Bites,21/Feb/2022,February,"$3,143 ",67
Roddy Speechley,Canada,Choco Coated Almonds,05/Nov/2022,November,"$5,873 ",249
Ches Bonnell,India,50% Dark Bites,15/Apr/2022,April,"$11,298 ",313
Oby Sorrel,Canada,Peanut Butter Cubes,06/Jul/2022,July,"$12,425 ",167
Oby Sorrel,UK,White Choc,27/Jun/2022,June,"$1,715 ",286
Barr Faughny,India,After Nines,29/Jul/2022,July,"$8,190 ",109
Wilone O'Kielt,Canada,Smooth Sliky Salty,06/Feb/2022,February,"$4,991 ",166
Rafaelita Blaksland,India,Mint Chip Choco,26/Jan/2022,January,"$15,491 ",85
Rafaelita Blaksland,Canada,99% Dark & Pure,03/Feb/2022,February,"$5,096 ",142
Van Tuxwell,Australia,70% Dark Bites,01/Oct/2022,October,"$7,063 ",104
Beverie Moffet,USA,70% Dark Bites,27/Jun/2022,June,"$2,275 ",115
Barr Faughny,Canada,Orange Choco,30/Jun/2022,June,"$7,602 ",18
Roddy Speechley,Australia,85% Dark Bars,07/Aug/2022,August,"$4,200 ",80
Oby Sorrel,India,Spicy Special Slims,06/Aug/2022,August,"$11,137 ",88
Jan Morforth,UK,Manuka Honey Choco,18/Aug/2022,August,"$3,388 ",212
Kaine Padly,Australia,After Nines,04/Aug/2022,August,"$6,832 ",306
Wilone O'Kielt,Canada,Fruit & Nut Bars,08/Aug/2022,August,"$3,437 ",181
Wilone O'Kielt,UK,Milk Bars,26/Aug/2022,August,$301 ,65
Oby Sorrel,Canada,Fruit & Nut Bars,14/Jan/2022,January,"$1,869 ",158
Dennison Crosswaite,USA,Baker's Choco Chips,08/Nov/2022,November,"$17,465 ",271
Madelene Upcott,USA,Almond Choco,31/May/2022,May,"$10,143 ",24
Van Tuxwell,New Zealand,50% Dark Bites,07/Nov/2022,November,"$3,626 ",10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,03/Feb/2022,February,"$3,346 ",304
Madelene Upcott,Australia,Raspberry Choco,13/Jul/2022,July,"$6,321 ",88
Rafaelita Blaksland,UK,Spicy Special Slims,08/Mar/2022,March,"$9,345 ",133
Curtice Advani,UK,Peanut Butter Cubes,03/Jan/2022,January,"$15,008 ",165
Kelci Walkden,New Zealand,White Choc,13/Apr/2022,April,"$7,609 ",150
Beverie Moffet,Canada,Fruit & Nut Bars,14/Feb/2022,February,"$10,332 ",180
Mallorie Waber,India,White Choc,26/Jul/2022,July,$819 ,213
Brien Boise,UK,Drinking Coco,27/Jan/2022,January,"$5,754 ",133
Jehu Rudeforth,India,Peanut Butter Cubes,14/Apr/2022,April,$28 ,446
Oby Sorrel,USA,Almond Choco,19/May/2022,May,"$6,440 ",141
Husein Augar,India,Eclairs,02/Sep/2022,September,"$4,956 ",58
Brien Boise,UK,Spicy Special Slims,25/May/2022,May,"$2,352 ",58
Oby Sorrel,Australia,Manuka Honey Choco,26/Jan/2022,January,"$3,906 ",76
Beverie Moffet,India,White Choc,07/Apr/2022,April,"$1,813 ",296
Ches Bonnell,India,Almond Choco,13/Apr/2022,April,"$11,788 ",73
Gigi Bohling,Australia,Smooth Sliky Salty,25/Jan/2022,January,"$5,768 ",119
Camilla Castle,USA,85% Dark Bars,25/Apr/2022,April,"$2,401 ",78
Camilla Castle,USA,Eclairs,06/Oct/2022,October,"$4,515 ",392
Madelene Upcott,New Zealand,White Choc,22/Aug/2022,August,"$10,794 ",51
Van Tuxwell,India,After Nines,27/Jun/2022,June,"$13,706 ",207
Husein Augar,India,Orange Choco,30/Jun/2022,June,"$4,361 ",40
Jehu Rudeforth,India,Almond Choco,30/Aug/2022,August,"$10,122 ",100
Karlen McCaffrey,Australia,Raspberry Choco,23/Aug/2022,August,$994 ,57
Camilla Castle,New Zealand,99% Dark & Pure,26/Aug/2022,August,"$2,268 ",42
Gigi Bohling,Australia,Orange Choco,03/Sep/2022,September,$574 ,156
Kelci Walkden,UK,Drinking Coco,20/Apr/2022,April,"$1,792 ",23
Mallorie Waber,Canada,Caramel Stuffed Bars,06/Oct/2022,October,"$4,844 ",539
Husein Augar,Australia,Organic Choco Syrup,02/Aug/2022,August,$938 ,158
Brien Boise,Australia,White Choc,25/Aug/2022,August,"$4,879 ",22
Dotty Strutley,India,Peanut Butter Cubes,16/Feb/2022,February,"$9,107 ",73
Dennison Crosswaite,UK,99% Dark & Pure,30/May/2022,May,"$12,187 ",27
Gigi Bohling,New Zealand,50% Dark Bites,29/Jun/2022,June,"$5,670 ",64
Gigi Bohling,USA,Milk Bars,16/Jun/2022,June,$476 ,133
Brien Boise,UK,Caramel Stuffed Bars,03/Apr/2022,April,"$2,681 ",149
Curtice Advani,New Zealand,Peanut Butter Cubes,15/Mar/2022,March,"$1,533 ",434
Curtice Advani,New Zealand,50% Dark Bites,27/Jan/2022,January,"$9,765 ",85
Beverie Moffet,Canada,Drinking Coco,07/May/2022,May,$994 ,118
Barr Faughny,USA,Caramel Stuffed Bars,29/Mar/2022,March,"$3,318 ",299
Mallorie Waber,Canada,Almond Choco,05/Dec/2022,December,"$4,214 ",35
Oby Sorrel,USA,Drinking Coco,03/Nov/2022,November,"$7,714 ",44
Brien Boise,New Zealand,Eclairs,07/Nov/2022,November,"$4,690 ",299
Gunar Cockshoot,New Zealand,Choco Coated Almonds,08/Jan/2022,January,"$13,062 ",62
Gunar Cockshoot,UK,Spicy Special Slims,16/Feb/2022,February,"$12,488 ",200
Curtice Advani,USA,After Nines,13/Apr/2022,April,"$14,147 ",235
Oby Sorrel,India,Choco Coated Almonds,14/Feb/2022,February,$49 ,363
Ches Bonnell,Australia,Peanut Butter Cubes,14/Mar/2022,March,"$10,199 ",68
Oby Sorrel,Australia,Spicy Special Slims,26/Apr/2022,April,"$11,389 ",26
Jehu Rudeforth,Canada,Manuka Honey Choco,04/May/2022,May,"$3,584 ",200
Camilla Castle,Canada,Drinking Coco,03/Mar/2022,March,"$12,481 ",264
Kaine Padly,USA,Spicy Special Slims,13/Jun/2022,June,"$2,107 ",175
Marney O'Breen,New Zealand,70% Dark Bites,14/Feb/2022,February,"$8,603 ",352
Roddy Speechley,New Zealand,99% Dark & Pure,18/Apr/2022,April,"$7,483 ",183
Oby Sorrel,New Zealand,85% Dark Bars,02/Jan/2022,January,"$3,381 ",417
Dotty Strutley,New Zealand,Orange Choco,08/Apr/2022,April,"$2,030 ",146
Andria Kimpton,New Zealand,Almond Choco,04/May/2022,May,"$6,559 ",158
Karlen McCaffrey,Australia,99% Dark & Pure,26/Jan/2022,January,"$10,822 ",168
Kaine Padly,UK,After Nines,21/Jan/2022,January,"$18,697 ",176
Kaine Padly,Canada,After Nines,22/Aug/2022,August,"$5,845 ",172
Kaine Padly,UK,Drinking Coco,27/Jan/2022,January,"$2,317 ",224
Rafaelita Blaksland,UK,50% Dark Bites,16/Feb/2022,February,"$10,150 ",68
Dotty Strutley,USA,Raspberry Choco,01/Mar/2022,March,"$3,437 ",46
Karlen McCaffrey,USA,White Choc,24/Aug/2022,August,"$4,592 ",2
Oby Sorrel,USA,Spicy Special Slims,02/Jul/2022,July,"$5,691 ",417
Mallorie Waber,Australia,Smooth Sliky Salty,02/Nov/2022,November,"$4,158 ",109
Kaine Padly,Canada,Organic Choco Syrup,29/Mar/2022,March,"$5,684 ",81
Marney O'Breen,USA,Peanut Butter Cubes,15/Jun/2022,June,$693 ,350
Dennison Crosswaite,UK,Smooth Sliky Salty,26/Apr/2022,April,$546 ,142
Brien Boise,Australia,Organic Choco Syrup,15/Jul/2022,July,"$4,263 ",264
Beverie Moffet,India,Organic Choco Syrup,23/Jun/2022,June,"$1,036 ",20
Dennison Crosswaite,Australia,Baker's Choco Chips,01/Nov/2022,November,"$13,846 ",421
Beverie Moffet,UK,50% Dark Bites,02/Sep/2022,September,"$2,499 ",271
Van Tuxwell,UK,Almond Choco,06/Jun/2022,June,"$10,689 ",204
Dotty Strutley,UK,Caramel Stuffed Bars,08/Oct/2022,October,"$5,768 ",235
Wilone O'Kielt,Australia,Smooth Sliky Salty,01/Apr/2022,April,"$2,226 ",46
Andria Kimpton,Canada,70% Dark Bites,04/Aug/2022,August,"$10,262 ",15
Barr Faughny,UK,Milk Bars,03/Feb/2022,February,"$3,864 ",430
Van Tuxwell,Canada,Drinking Coco,15/Jun/2022,June,"$4,900 ",709
Jehu Rudeforth,Australia,After Nines,14/Feb/2022,February,"$5,250 ",47
Husein Augar,UK,After Nines,07/May/2022,May,"$3,507 ",380
Barr Faughny,India,Mint Chip Choco,01/Dec/2022,December,"$7,413 ",465
Curtice Advani,India,Mint Chip Choco,03/Mar/2022,March,"$8,155 ",96
Jehu Rudeforth,New Zealand,Milk Bars,18/May/2022,May,"$2,478 ",188
Gunar Cockshoot,India,Caramel Stuffed Bars,28/Jul/2022,July,"$2,471 ",202
Curtice Advani,UK,Manuka Honey Choco,02/Jul/2022,July,"$1,666 ",106
Andria Kimpton,India,Orange Choco,30/May/2022,May,$301 ,421
Mallorie Waber,Australia,Raspberry Choco,25/Apr/2022,April,"$8,400 ",27
Beverie Moffet,Canada,85% Dark Bars,16/Feb/2022,February,"$6,139 ",45
Kelci Walkden,Australia,Drinking Coco,05/Apr/2022,April,"$1,288 ",60
Van Tuxwell,Canada,70% Dark Bites,06/Feb/2022,February,"$7,077 ",77
Dennison Crosswaite,USA,Caramel Stuffed Bars,07/Nov/2022,November,"$2,317 ",464
Beverie Moffet,New Zealand,Spicy Special Slims,06/Jul/2022,July,$63 ,60
Jan Morforth,UK,Almond Choco,07/Jun/2022,June,"$9,744 ",157
Husein Augar,India,Raspberry Choco,15/Jun/2022,June,"$9,954 ",154
Dotty Strutley,India,Mint Chip Choco,14/Apr/2022,April,"$1,260 ",239
Camilla Castle,India,Drinking Coco,08/Aug/2022,August,$469 ,163
Marney O'Breen,UK,Drinking Coco,29/Mar/2022,March,$973 ,28
Roddy Speechley,Australia,Organic Choco Syrup,07/Apr/2022,April,"$3,647 ",76
Ches Bonnell,India,99% Dark & Pure,16/Feb/2022,February,$455 ,96
Rafaelita Blaksland,Canada,Spicy Special Slims,05/Feb/2022,February,"$2,520 ",156
Van Tuxwell,India,Eclairs,21/Jul/2022,July,"$10,500 ",106
Gunar Cockshoot,Australia,99% Dark & Pure,18/Aug/2022,August,"$7,952 ",235
Kaine Padly,USA,85% Dark Bars,22/Jun/2022,June,$483 ,259
Camilla Castle,UK,Peanut Butter Cubes,19/Jul/2022,July,"$4,872 ",126
Madelene Upcott,UK,Peanut Butter Cubes,08/Dec/2022,December,"$7,756 ",85
Madelene Upcott,USA,Choco Coated Almonds,06/Jul/2022,July,"$5,446 ",132
Marney O'Breen,Canada,Peanut Butter Cubes,03/Aug/2022,August,"$6,594 ",91
Ches Bonnell,Australia,Choco Coated Almonds,04/Aug/2022,August,"$1,470 ",167
Curtice Advani,Canada,Eclairs,05/Jun/2022,June,$721 ,203
Roddy Speechley,India,Drinking Coco,31/May/2022,May,"$4,494 ",11
Van Tuxwell,Australia,Mint Chip Choco,13/Jan/2022,January,"$2,674 ",295
Dennison Crosswaite,USA,70% Dark Bites,15/Mar/2022,March,$658 ,77
Andria Kimpton,Canada,Peanut Butter Cubes,16/Feb/2022,February,"$1,127 ",319
Gigi Bohling,USA,70% Dark Bites,14/Jan/2022,January,"$7,364 ",196
Rafaelita Blaksland,Australia,White Choc,21/Mar/2022,March,"$6,818 ",102
Roddy Speechley,Canada,Drinking Coco,17/May/2022,May,"$6,776 ",312
Camilla Castle,New Zealand,85% Dark Bars,08/Aug/2022,August,"$15,099 ",55
Madelene Upcott,Canada,Milk Bars,26/Apr/2022,April,"$3,612 ",82
Madelene Upcott,Australia,70% Dark Bites,15/Apr/2022,April,"$3,710 ",260
Oby Sorrel,Canada,Eclairs,19/May/2022,May,"$6,111 ",591
Dennison Crosswaite,Canada,Drinking Coco,01/Oct/2022,October,"$2,702 ",24
Mallorie Waber,New Zealand,After Nines,05/Apr/2022,April,$483 ,228
Roddy Speechley,Canada,White Choc,04/May/2022,May,"$5,887 ",268
Andria Kimpton,India,After Nines,17/Jan/2022,January,$952 ,68
Roddy Speechley,India,Spicy Special Slims,22/Mar/2022,March,"$10,647 ",173
Dotty Strutley,Australia,White Choc,07/May/2022,May,"$6,055 ",93
Oby Sorrel,Canada,Orange Choco,27/Apr/2022,April,"$8,757 ",338
Kaine Padly,Canada,Almond Choco,08/Dec/2022,December,"$6,055 ",73
Jan Morforth,UK,Baker's Choco Chips,03/Nov/2022,November,$721 ,251
Jehu Rudeforth,UK,Fruit & Nut Bars,13/May/2022,May,"$8,589 ",229
Dennison Crosswaite,USA,Smooth Sliky Salty,05/Dec/2022,December,"$11,781 ",91
Brien Boise,USA,Raspberry Choco,01/Dec/2022,December,$672 ,194
Madelene Upcott,New Zealand,Milk Bars,29/Mar/2022,March,"$12,558 ",403
Roddy Speechley,India,50% Dark Bites,14/Mar/2022,March,"$8,337 ",12
Barr Faughny,New Zealand,99% Dark & Pure,24/May/2022,May,"$8,134 ",195
Dennison Crosswaite,Canada,Organic Choco Syrup,28/Jan/2022,January,"$8,491 ",75
Beverie Moffet,India,Almond Choco,24/May/2022,May,"$3,066 ",96
Brien Boise,Australia,Peanut Butter Cubes,19/Aug/2022,August,$301 ,205
Karlen McCaffrey,Australia,Spicy Special Slims,17/May/2022,May,"$4,410 ",323
Jehu Rudeforth,USA,White Choc,06/Jul/2022,July,"$6,559 ",119
Ches Bonnell,Canada,Organic Choco Syrup,26/Jul/2022,July,$574 ,217
Dotty Strutley,India,Eclairs,28/Jul/2022,July,"$2,086 ",384
Karlen McCaffrey,India,70% Dark Bites,23/May/2022,May,"$5,075 ",344
Jehu Rudeforth,UK,Mint Chip Choco,01/Apr/2023,April,"$5,902 ",178
Van Tuxwell,India,85% Dark Bars,08/Jan/2023,January,"$8,074 ",100
Gigi Bohling,India,Peanut Butter Cubes,07/Jul/2023,July,"$4,666 ",100
Jan Morforth,Australia,Peanut Butter Cubes,27/Apr/2023,April,"$14,103 ",350
Jehu Rudeforth,UK,Peanut Butter Cubes,24/Feb/2023,February,"$14,168 ",178
Van Tuxwell,India,Smooth Sliky Salty,06/Jun/2023,June,"$5,769 ",37
Oby Sorrel,UK,99% Dark & Pure,25/Jan/2023,January,"$14,673 ",175
Gunar Cockshoot,Australia,After Nines,24/Mar/2023,March,"$3,249 ",78
Jehu Rudeforth,New Zealand,50% Dark Bites,20/Apr/2023,April,"$4,526 ",64
Brien Boise,Australia,99% Dark & Pure,07/Apr/2023,April,"$3,167 ",98
Rafaelita Blaksland,UK,Smooth Sliky Salty,13/Jan/2023,January,"$4,866 ",65
Barr Faughny,USA,Orange Choco,03/Oct/2023,October,"$4,254 ",12
Mallorie Waber,Canada,Eclairs,13/Jan/2023,January,"$1,653 ",277
Karlen McCaffrey,New Zealand,Drinking Coco,28/Jul/2023,July,$171 ,163
Marney O'Breen,New Zealand,Peanut Butter Cubes,08/Mar/2023,March,"$8,550 ",169
Beverie Moffet,Australia,Organic Choco Syrup,26/Jan/2023,January,"$7,808 ",355
Van Tuxwell,Canada,Organic Choco Syrup,14/Feb/2023,February,"$4,561 ",44
Roddy Speechley,USA,Smooth Sliky Salty,04/May/2023,May,"$3,041 ",148
Beverie Moffet,Canada,Milk Bars,16/Feb/2023,February,"$9,786 ",248
Curtice Advani,UK,85% Dark Bars,06/Aug/2023,August,"$1,131 ",175
Brien Boise,Australia,Eclairs,27/Jun/2023,June,"$7,484 ",94
Gunar Cockshoot,USA,Spicy Special Slims,17/Feb/2023,February,"$1,340 ",166
Marney O'Breen,USA,After Nines,30/May/2023,May,"$5,481 ",159
Husein Augar,UK,Drinking Coco,14/Mar/2023,March,"$3,275 ",120
Kaine Padly,Australia,Eclairs,28/Feb/2023,February,"$7,678 ",118
Karlen McCaffrey,India,Fruit & Nut Bars,26/Jan/2023,January,$189 ,315
Roddy Speechley,Canada,Spicy Special Slims,02/Sep/2023,September,"$1,659 ",193
Husein Augar,USA,Eclairs,07/Jul/2023,July,"$4,169 ",122
Dennison Crosswaite,New Zealand,White Choc,07/May/2023,May,"$10,605 ",165
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15/Jun/2023,June,"$5,774 ",325
Van Tuxwell,New Zealand,85% Dark Bars,24/May/2023,May,"$1,839 ",121
Rafaelita Blaksland,UK,99% Dark & Pure,29/Jun/2023,June,"$12,643 ",150
Wilone O'Kielt,Australia,Manuka Honey Choco,05/Nov/2023,November,"$4,440 ",95
Karlen McCaffrey,UK,Almond Choco,30/Jun/2023,June,"$7,699 ",126
Andria Kimpton,Canada,After Nines,05/Nov/2023,November,"$2,222 ",77
Roddy Speechley,USA,Manuka Honey Choco,22/Jul/2023,July,"$10,959 ",302
Andria Kimpton,UK,50% Dark Bites,24/Aug/2023,August,"$2,855 ",337
Kelci Walkden,New Zealand,After Nines,07/Jul/2023,July,$148 ,74
Camilla Castle,Australia,85% Dark Bars,19/May/2023,May,"$3,791 ",14
Karlen McCaffrey,India,Manuka Honey Choco,07/Apr/2023,April,"$2,487 ",583
Kelci Walkden,USA,After Nines,06/Feb/2023,February,"$1,021 ",17
Karlen McCaffrey,USA,Raspberry Choco,15/Apr/2023,April,"$15,370 ",353
Mallorie Waber,Canada,Choco Coated Almonds,07/Nov/2023,November,"$5,346 ",250
Andria Kimpton,India,Spicy Special Slims,23/Feb/2023,February,"$6,559 ",154
Madelene Upcott,Canada,Almond Choco,22/Aug/2023,August,"$8,283 ",107
Kaine Padly,USA,Peanut Butter Cubes,16/Feb/2023,February,"$6,981 ",189
Van Tuxwell,USA,50% Dark Bites,13/Jan/2023,January,"$10,280 ",155
Curtice Advani,Australia,Milk Bars,14/Feb/2023,February,"$7,704 ",20
Roddy Speechley,India,Eclairs,06/Oct/2023,October,"$4,490 ",310
Curtice Advani,India,Fruit & Nut Bars,07/Jul/2023,July,"$5,806 ",190
Curtice Advani,Canada,Almond Choco,24/Mar/2023,March,"$5,149 ",76
Brien Boise,Australia,Fruit & Nut Bars,06/Jun/2023,June,"$8,559 ",24
Dotty Strutley,Australia,Drinking Coco,19/Jul/2023,July,$94 ,145
Beverie Moffet,USA,Raspberry Choco,19/Apr/2023,April,"$16,224 ",87
Marney O'Breen,India,85% Dark Bars,19/Jul/2023,July,"$2,439 ",175
Jehu Rudeforth,Canada,Drinking Coco,15/Jul/2023,July,$467 ,23
Ches Bonnell,New Zealand,Spicy Special Slims,14/Feb/2023,February,"$4,044 ",18
Brien Boise,Canada,99% Dark & Pure,18/May/2023,May,"$17,675 ",446
Barr Faughny,Australia,Fruit & Nut Bars,30/Jun/2023,June,"$17,281 ",58
Andria Kimpton,Australia,50% Dark Bites,06/Feb/2023,February,"$5,092 ",219
Andria Kimpton,Australia,Drinking Coco,28/Jun/2023,June,"$1,657 ",49
Marney O'Breen,Australia,Organic Choco Syrup,16/May/2023,May,$306 ,189
Kelci Walkden,Canada,Baker's Choco Chips,26/May/2023,May,"$3,377 ",325
Karlen McCaffrey,India,Almond Choco,07/Jun/2023,June,"$6,189 ",157
Oby Sorrel,India,99% Dark & Pure,27/May/2023,May,"$10,914 ",11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14/Apr/2023,April,"$2,342 ",12
Van Tuxwell,Australia,Organic Choco Syrup,08/Oct/2023,October,"$21,763 ",15
Camilla Castle,India,50% Dark Bites,07/Apr/2023,April,"$10,540 ",398
Oby Sorrel,India,Organic Choco Syrup,07/Aug/2023,August,"$6,666 ",60
Jan Morforth,USA,Peanut Butter Cubes,22/Jul/2023,July,"$9,605 ",98
Gigi Bohling,USA,Choco Coated Almonds,03/Feb/2023,February,"$13,018 ",103
Gigi Bohling,UK,Almond Choco,01/Oct/2023,October,"$6,046 ",10
Jehu Rudeforth,New Zealand,White Choc,03/Nov/2023,November,"$3,078 ",231
Andria Kimpton,New Zealand,Peanut Butter Cubes,20/Jun/2023,June,$971 ,291
Van Tuxwell,UK,Organic Choco Syrup,26/Aug/2023,August,"$2,065 ",208
Roddy Speechley,Canada,Milk Bars,13/Jul/2023,July,$680 ,34
Camilla Castle,USA,Spicy Special Slims,02/Nov/2023,November,"$1,311 ",251
Marney O'Breen,USA,Orange Choco,27/Jan/2023,January,"$8,693 ",184
Van Tuxwell,UK,99% Dark & Pure,31/Jan/2023,January,"$4,993 ",145
Camilla Castle,USA,White Choc,18/Aug/2023,August,"$10,898 ",24
Andria Kimpton,USA,Raspberry Choco,30/Jun/2023,June,"$15,566 ",21
Dotty Strutley,Australia,Fruit & Nut Bars,23/Aug/2023,August,$281 ,328
Brien Boise,New Zealand,Mint Chip Choco,08/Jan/2023,January,$66 ,197
Roddy Speechley,New Zealand,After Nines,25/May/2023,May,"$8,766 ",10
Roddy Speechley,Canada,Organic Choco Syrup,01/Oct/2023,October,"$4,265 ",85
